#データ名,ファイル名,説明,更新日,解像度,検索キュー,仕様書,データ概要,URL#
観測値日本海産貝類10km,Marine.shell_grid10km.csv,日本の海産貝類の分布観測データ。在データの年代別情報付き,2022/9/5,2次メッシュ,種分布データ;日本;海産貝類;marine shell;10km;2次メッシュ;時系列;海域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/Marine.shell_grid10km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/Marine.shell_grid10km.csv.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/point_occurrence/japan/10km/Marine.shell_grid10km.csv">リンク</a>
予測値日本両生類1km,pred_amphibian_grid1km.RDS,日本の両生類の分布推定データ（二値化）。,2022/9/5,3次メッシュ,種分布データ;日本;両生類;amphibian;1km;在不在;推定;予測;3次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_amphibian_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_amphibian_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_amphibian_grid1km.RDS">リンク</a>
予測値日本被子植物1km,pred_angiosperms1.1_grid1km.RDS,日本の被子植物の分布推定データ（二値化）。,2022/9/5,3次メッシュ,種分布データ;日本;被子植物;angiosperm;1km;在不在;推定;予測;3次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_angiosperms1.1_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_angiosperms1.1_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_angiosperms1.1_grid1km.RDS">リンク</a>
予測値日本被子植物1km,pred_angiosperms1.2_grid1km.RDS,日本の被子植物の分布推定データ（二値化）。,2022/9/5,3次メッシュ,種分布データ;日本;被子植物;angiosperm;1km;在不在;推定;予測;3次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_angiosperms1.2_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_angiosperms1.2_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_angiosperms1.2_grid1km.RDS">リンク</a>
予測値日本被子植物1km,pred_angiosperms2.1_grid1km.RDS,日本の被子植物の分布推定データ（二値化）。,2022/9/5,3次メッシュ,種分布データ;日本;被子植物;angiosperm;1km;在不在;推定;予測;3次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_angiosperms2.1_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_angiosperms2.1_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_angiosperms2.1_grid1km.RDS">リンク</a>
予測値日本被子植物1km,pred_angiosperms2.2_grid1km.RDS,日本の被子植物の分布推定データ（二値化）。,2022/9/5,3次メッシュ,種分布データ;日本;被子植物;angiosperm;1km;在不在;推定;予測;3次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_angiosperms2.2_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_angiosperms2.2_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_angiosperms2.2_grid1km.RDS">リンク</a>
予測値日本被子植物1km,pred_angiosperms3.1_grid1km.RDS,日本の被子植物の分布推定データ（二値化）。,2022/9/5,3次メッシュ,種分布データ;日本;被子植物;angiosperm;1km;在不在;推定;予測;3次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_angiosperms3.1_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_angiosperms3.1_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_angiosperms3.1_grid1km.RDS">リンク</a>
予測値日本被子植物1km,pred_angiosperms3.2_grid1km.RDS,日本の被子植物の分布推定データ（二値化）。,2022/9/5,3次メッシュ,種分布データ;日本;被子植物;angiosperm;1km;在不在;推定;予測;3次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_angiosperms3.2_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_angiosperms3.2_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_angiosperms3.2_grid1km.RDS">リンク</a>
予測値日本鳥類1km,pred_bird_grid1km.RDS,日本の鳥類の分布推定データ（二値化）。,2022/9/5,3次メッシュ,種分布データ;日本;鳥類;bird;1km;在不在;推定;予測;3次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_bird_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_bird_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_bird_grid1km.RDS">リンク</a>
予測値日本チョウ1km,pred_butterfly_grid1km.RDS,日本のチョウの分布推定データ（二値化）。,2022/9/6,3次メッシュ,種分布データ;日本;チョウ;butterfly;1km;在不在;推定;予測;3次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_butterfly_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_butterfly_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_butterfly_grid1km.RDS">リンク</a>
予測値日本セミ1km,pred_cicada_grid1km.RDS,日本のセミの分布推定データ（二値化）。,2022/9/5,3次メッシュ,種分布データ;日本;セミ;cicada;1km;在不在;推定;予測;3次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_cicada_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_cicada_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_cicada_grid1km.RDS">リンク</a>
予測値日本トンボ1km,pred_Dragonfly_grid1km.RDS,日本のトンボの分布推定データ（二値化）。,2022/9/5,3次メッシュ,種分布データ;日本;トンボ;dragonfly;1km;在不在;推定;予測;3次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_Dragonfly_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_Dragonfly_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_Dragonfly_grid1km.RDS">リンク</a>
予測値日本シダ1km,pred_fern_grid1km.RDS,日本のシダ植物の分布推定データ（二値化）。,2022/9/5,3次メッシュ,種分布データ;日本;シダ植物;fern;1km;在不在;推定;予測;3次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_fern_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_fern_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_fern_grid1km.RDS">リンク</a>
予測値日本淡水魚1km,pred_freshwater_fish_grid1km.RDS,日本の淡水魚類の分布推定データ（二値化）。,2022/9/5,3次メッシュ,種分布データ;日本;魚類;淡水魚類;freshwater fish;1km;在不在;推定;予測;3次メッシュ;淡水域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_freshwater_fish_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_freshwater_fish_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_freshwater_fish_grid1km.RDS">リンク</a>
予測値日本裸子植物1km,pred_gymnosperm_grid1km.RDS,日本の裸子植物の分布推定データ（二値化）。,2022/9/5,3次メッシュ,種分布データ;日本;裸子植物;gymnosperm;1km;在不在;推定;予測;3次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_gymnosperm_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_gymnosperm_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_gymnosperm_grid1km.RDS">リンク</a>
予測値日本哺乳類1km,pred_mammal_grid1km.RDS,日本の哺乳類の分布推定データ（二値化）。,2022/9/6,3次メッシュ,種分布データ;日本;哺乳類;mammal;1km;在不在;推定;予測;3次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_mammal_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_mammal_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_mammal_grid1km.RDS">リンク</a>
予測値日本爬虫類1km,pred_reptile_grid1km.RDS,日本の爬虫類の分布推定データ（二値化）。,2022/9/5,3次メッシュ,種分布データ;日本;爬虫類;reptile;1km;在不在;推定;予測;3次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_reptile_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_reptile_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_reptile_grid1km.RDS">リンク</a>
予測値日本イシサンゴ類1km,pred_Marine.coral_grid1km.RDS,日本のイシサンゴ類の分布推定データ（二値化）。,2022/9/5,3次メッシュ,種分布データ;日本;イシサンゴ;scleractinia;coral;1km;在不在;推定;予測;3次メッシュ;海域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_Marine.coral_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_Marine.coral_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_Marine.coral_grid1km.RDS">リンク</a>
予測値日本海草藻類1km,pred_Marine.algae_grid1km.RDS,日本の海草藻類の分布推定データ（二値化）。,2022/9/5,3次メッシュ,種分布データ;日本;海藻:海草;algae;seagrass;seaweed;1km;在不在;推定;予測;3次メッシュ;海域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_Marine.algae_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_Marine.algae_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_Marine.algae_grid1km.RDS">リンク</a>
予測値日本海産甲殻類1km,pred_Marine.crustacean_grid1km.RDS,日本の海産甲殻類の分布推定データ（二値化）。,2022/9/5,3次メッシュ,種分布データ;日本;甲殻類;marine crustacean;1km;在不在;推定;予測;3次メッシュ;海域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_Marine.crustacean_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_Marine.crustacean_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_Marine.crustacean_grid1km.RDS">リンク</a>
予測値日本沿岸魚類1km,pred_Marine.fish_grid1km.RDS,日本の沿岸魚類の分布推定データ（二値化）。,2022/9/5,3次メッシュ,種分布データ;日本;沿岸魚類;marine fish;1km;在不在;推定;予測;3次メッシュ;海域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_Marine.fish_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_Marine.fish_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_Marine.fish_grid1km.RDS">リンク</a>
予測値日本海産爬虫類1km,pred_Marine.reptile_grid1km.RDS,日本の海産爬虫類の分布推定データ（二値化）。,2022/9/5,3次メッシュ,種分布データ;日本;海産爬虫類;marine reptile;1km;在不在;推定;予測;3次メッシュ;海域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_Marine.reptile_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_Marine.reptile_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_Marine.reptile_grid1km.RDS">リンク</a>
予測値日本海産貝類1km,pred_Marine.shell_grid1km.RDS,日本の海産貝類の分布推定データ（二値化）。,2022/9/5,3次メッシュ,種分布データ;日本;海産貝類;marine shell;1km;在不在;推定;予測;3次メッシュ;海域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_Marine.shell_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_Marine.shell_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_Marine.shell_grid1km.RDS">リンク</a>
日本樹木種個体数10km,woody_plant_abundance1_grid10km.csv,日本の樹木種の10kmグリッド当たりの推定個体数,2022/9/6,2次メッシュ,個体数;日本;樹木;woody plant;10km;推定;2次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/woody_plant_abundance1_grid10km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/woody_plant_abundance1_grid10km.csv.pdf">pdf</a>&nbsp;,<a href="/woody_plant_abundance1_grid10km.csv">リンク</a>
日本樹木種個体数10km,woody_plant_abundance2_grid10km.csv,日本の樹木種の10kmグリッド当たりの推定個体数,2022/9/6,2次メッシュ,個体数;日本;樹木;woody plant;10km;推定;2次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/woody_plant_abundance2_grid10km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/woody_plant_abundance2_grid10km.csv.pdf">pdf</a>&nbsp;,<a href="/woody_plant_abundance2_grid10km.csv">リンク</a>
日本陸域環境1km,terrestrial_environment1_grid1km.csv,日本の陸域の地形・気候・土地利用などの環境データ,2022/9/6,3次メッシュ,環境;日本;environment;1km;3次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/terrestrial_environment1_grid1km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/terrestrial_environment1_grid1km.csv.pdf">pdf</a>&nbsp;,<a href="/terrestrial_environment1_grid1km.csv">リンク</a>
日本陸域環境1km,terrestrial_environment2_grid1km.csv,日本の陸域の地形・気候・土地利用などの環境データ,2022/9/6,3次メッシュ,環境;日本;environment;1km;3次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/terrestrial_environment2_grid1km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/terrestrial_environment2_grid1km.csv.pdf">pdf</a>&nbsp;,<a href="/terrestrial_environment2_grid1km.csv">リンク</a>
日本陸域環境1km,terrestrial_environment3_grid1km.csv,日本の陸域の地形・気候・土地利用などの環境データ,2022/9/6,3次メッシュ,環境;日本;environment;1km;3次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/terrestrial_environment3_grid1km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/terrestrial_environment3_grid1km.csv.pdf">pdf</a>&nbsp;,<a href="/terrestrial_environment3_grid1km.csv">リンク</a>
日本沿岸域環境1km,coastal_environmental_grid1km.csv,日本の沿岸域（陸から5km以内）の水深・海水温などの環境データ,2022/9/6,3次メッシュ,環境;日本;environment;1km;3次メッシュ;海域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/coastal_environmental_grid1km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/coastal_environmental_grid1km.csv.pdf">pdf</a>&nbsp;,<a href="/coastal_environmental_grid1km.csv">リンク</a>
日本陸域環境10km,terrestrial_environment_grid10km.csv,日本の陸域の地形・気候・土地利用などの環境データ,2022/10/21,2次メッシュ,環境;日本;environment;10km;2次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/terrestrial_environment_grid10km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/terrestrial_environment_grid10km.csv.pdf">pdf</a>&nbsp;,
日本沿岸域環境10km,coastal_environment_gird10km.csv,日本の沿岸域（陸から5km以内の海域が含まれる2次メッシュ）の水深・海水温などの環境データ,2022/10/21,2次メッシュ,環境;日本;environment;10km;2次メッシュ;海域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/coastal_environment_gird10km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/coastal_environment_gird10km.csv.pdf">pdf</a>&nbsp;,
ダミー環境データ10km,dummy_environment_grid10km.csv,ダミー環境データ10km,2022/10/21,2次メッシュ,環境;日本;environment;10km;2次メッシュ;陸域;ダミー,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/dummy_environment_grid10km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/dummy_environment_grid10km.csv.pdf">pdf</a>&nbsp;,<a href="https://ocean180-pj.github.io/data.website/assets/data/dummy_data/dummy_environment_grid10km.csv">リンク</a>
ダミー在データ10km,dummy_species_grid10km.csv,ダミー在データ10km,2022/10/21,2次メッシュ,環境;日本;environment;10km;2次メッシュ;陸域;ダミー,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/dummy_species_grid10km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/dummy_species_grid10km.csv.pdf">pdf</a>&nbsp;,<a href="https://ocean180-pj.github.io/data.website/assets/data/dummy_data/dummy_species_grid10km.csv">リンク</a>
日本維管束植物機能特性,vascular_plant_trait.csv,日本産維管束植物の機能特性データ,2022/9/6,,機能特性;日本;維管束植物;vascular plant;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/vascular_plant_trait.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/vascular_plant_trait.csv.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/functional_and_phylogenetic_data/vascular_plant_trait.csv">リンク</a>
日本シダ植物系統樹,JapanFern.nwk,日本産シダ植物の系統樹,2022/9/5,,系統樹;日本;シダ植物;fern;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/JapanFern.nwk_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/JapanFern.nwk.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/functional_and_phylogenetic_data/JapanFern.nwk">リンク</a>
日本ヒカゲノカズラ門系統樹,JapanLycopodiophyta.nwk,日本産ヒカゲノカズラ門の系統樹,2022/9/5,,系統樹;日本;ヒカゲノカズラ門;lycopodiophyta;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/JapanLycopodiophyta.nwk_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/JapanLycopodiophyta.nwk.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/functional_and_phylogenetic_data/JapanLycopodiophyta.nwk">リンク</a>
日本種子植物系統樹,JapanSeedplant.nwk,日本産種子植物の系統樹,2022/9/5,,系統樹;日本;種子植物;seed plant;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/JapanSeedplant.nwk_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/JapanSeedplant.nwk.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/functional_and_phylogenetic_data/JapanSeedplant.nwk">リンク</a>
日本淡水魚類系統樹,JapanFreshwaterFish.nwk,日本産淡水魚類の系統樹,2022/9/5,,系統樹;日本;淡水魚類;freshwater fish;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/JapanFreshwaterFish.nwk_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/JapanFreshwaterFish.nwk.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/functional_and_phylogenetic_data/JapanFreshwaterFish.nwk">リンク</a>
日本両生類系統樹,JapanAmphibian.nwk,日本産両生類の系統樹,2022/9/5,,系統樹;日本;両生類;amphibian;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/JapanAmphibian.nwk_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/JapanAmphibian.nwk.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/functional_and_phylogenetic_data/JapanAmphibian.nwk">リンク</a>
日本爬虫類系統樹,JapanReptile.nwk,日本産爬虫類の系統樹,2022/9/5,,系統樹;日本;爬虫類;reptile;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/JapanReptile.nwk_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/JapanReptile.nwk.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/functional_and_phylogenetic_data/JapanReptile.nwk">リンク</a>
日本哺乳類系統樹,JapanMammal.nwk,日本産哺乳類の系統樹,2022/9/5,,系統樹;日本;哺乳類;mammal;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/JapanMammal.nwk_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/JapanMammal.nwk.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/functional_and_phylogenetic_data/JapanMammal.nwk">リンク</a>
日本鳥類系統樹,JapanBird.tre,日本産鳥類の系統樹,2022/9/5,,系統樹;日本;鳥類;bird;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/JapanBird.tre_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/JapanBird.tre.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/functional_and_phylogenetic_data/JapanBird.tre">リンク</a>
